"@UlfricStormcloak",,,,,"200 Yerba Syrah Wine, 14 Nibenese Fricasseed Fawn","Donated by @UlfricStormcloak 200x|H1:item:34002:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 14x|H1:item:33594:5:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Aksel Rockbiter",,,,,"Citrine, Chysolite, Nickel, Grain Solvent","Donated by Aksel Rockbiter |H1:item:16291:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:23203:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:33254:30:50:0:0:0:0:0:0:0:0:0:0:0:0:34:0:0:0:0:0|h|h |H1:item:54172:33:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Aksel Rockbiter",,,,,"3 Rubedite Ore","Donated by Aksel Rockbiter 3x|H1:item:71198:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Melina Cassel",,,,,"Kude, Makkoma, Ta","Donated by Melina Cassel |H1:item:45830:134:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:45835:20:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:45850:20:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Nonette Gavonne",,,,,"20 Garlic, 20 Potato","Donated by Nonette Gavonne 20x|H1:item:26954:25:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 20x|H1:item:33758:25:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Margog the Hammer",,,,,"Citrine, Adamantite, Turpen, Sanded Ruby Ash","Donated by Margog the Hammer |H1:item:16291:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:33252:30:50:0:0:0:0:0:0:0:0:0:0:0:0:7:0:0:0:0:0|h|h |H1:item:54179:32:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:64502:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Margog the Hammer",,,,,"3 Rough Ruby Ash","Donated by Margog the Hammer 3x|H1:item:71199:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Veesk-Olan",,,,,"Sapphire, Manganese, 2 Elegant Lining, Rubedo Leather","Donated by Veesk-Olan |H1:item:23173:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:33257:30:50:0:0:0:0:0:0:0:0:0:0:0:0:3:0:0:0:0:0|h|h 2x|H1:item:54176:33:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:64506:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Veesk-Olan",,,,,"10 Rubedo Hide Scraps","Donated by Veesk-Olan 10x|H1:item:71239:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Margog the Hammer",,,,,"Nickel, Turpen, 3 Rough Ruby Ash","Donated by Margog the Hammer |H1:item:33254:30:50:0:0:0:0:0:0:0:0:0:0:0:0:34:0:0:0:0:0|h|h |H1:item:54179:32:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 3x|H1:item:71199:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Veesk-Olan",,,,,"Almandine, 3 Rubedo Hide Scraps","Donated by Veesk-Olan |H1:item:23221:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 3x|H1:item:71239:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Melina Cassel",,,,,"Kude, Deni, Jejota","Donated by Melina Cassel |H1:item:45830:134:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:45833:20:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h |H1:item:45851:21:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Aksel Rockbiter",,,,,"Emerald, 3 Rubedite Ore","Donated by Aksel Rockbiter |H1:item:4442:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 3x|H1:item:71198:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Gavin Gavonne",,,,,"15 Cheese, 15 Ginseng","Donated by Gavin Gavonne 15x|H1:item:27057:25:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 15x|H1:item:34347:25:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
"Margog the Hammer",,,,,"Turpen, 10 Rough Ruby Ash","Donated by Margog the Hammer |H1:item:54179:32:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h 10x|H1:item:71199:30:50:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h"
